video_id,youtube_id,label,benchmark,domain,sub_category,duration_type,total_sec,total_frames,full_mu,full_sigma,full_peak_count,full_autocorr,s1_mu,s1_sigma,s1_peak_count,s1_autocorr,s1_mu_diff,s1_sigma_diff,s2_mu,s2_sigma,s2_peak_count,s2_autocorr,s2_mu_diff,s2_sigma_diff,s3_mu,s3_sigma,s3_peak_count,s3_autocorr,s3_mu_diff,s3_sigma_diff,status,error_msg,processed_at
1,fFjv93ACGo8,knowledge_humanity_history_short,video_mme,Knowledge,Humanity & History,short,74.0,74.0,0.890068,0.149149,12.3288,-0.092626,0.883788,0.155198,13.2203,-0.123844,-0.00628,0.006049,0.917577,0.138908,7.2727,-0.14378,0.027509,-0.010241,0.89268,0.153998,11.7857,-0.184413,0.002612,0.004849,success,,2026-04-16 04:29:48
2,N1cdUjctpG8,knowledge_humanity_history_short,video_mme,Knowledge,Humanity & History,short,86.0,86.0,0.979313,0.077166,4.2353,-0.074759,0.976427,0.080225,5.0847,-0.08841,-0.002886,0.003059,0.976596,0.086532,4.0,0.26281,-0.002717,0.009366,0.970312,0.091227,6.1017,-0.10832,-0.009001,0.014061,success,,2026-04-16 04:30:03
3,HIjX8OPuf-w,knowledge_humanity_history_short,video_mme,Knowledge,Humanity & History,short,113.0,113.0,0.894886,0.093775,9.1071,0.165114,0.877104,0.079975,12.2034,0.231128,-0.017782,-0.0138,0.907224,0.080968,8.1356,0.375783,0.012338,-0.012807,0.893062,0.082824,12.2034,0.308212,-0.001824,-0.010951,success,,2026-04-16 04:30:22
21,TbaCxIJ_VP4,knowledge_biology_medicine_short,video_mme,Knowledge,Biology & Medicine,short,83.0,83.0,0.868698,0.154006,8.0488,0.081937,0.868104,0.143696,8.1356,0.087824,-0.000594,-0.01031,0.856236,0.179231,8.5714,-0.018702,-0.012462,0.025225,0.867818,0.145304,8.1356,0.178696,-0.00088,-0.008702,success,,2026-04-16 04:30:37
22,n3IYmdy6d4Y,knowledge_biology_medicine_short,video_mme,Knowledge,Biology & Medicine,short,94.0,94.0,0.787372,0.15528,10.9677,0.002307,0.791819,0.158677,11.1864,-0.15784,0.004447,0.003397,0.77708,0.151889,12.4528,0.287446,-0.010292,-0.003391,0.787364,0.158627,11.1864,-0.106574,-8e-06,0.003347,success,,2026-04-16 04:30:54
23,iZYLeIJwe4w,knowledge_biology_medicine_short,video_mme,Knowledge,Biology & Medicine,short,88.0,88.0,0.896994,0.122607,9.6552,-0.018975,0.905184,0.119662,9.1525,-0.038332,0.00819,-0.002945,0.876767,0.134049,11.4894,-0.008723,-0.020227,0.011442,0.898818,0.125054,10.1695,-0.056309,0.001824,0.002447,success,,2026-04-16 04:31:16
81,FjS2LzrHEO8,knowledge_technology_short,video_mme,Knowledge,Technology,short,60.0,60.0,0.750652,0.127116,11.1864,0.063953,0.750652,0.127116,11.1864,0.063953,0.0,0.0,0.733404,0.120465,6.3158,0.078943,-0.017248,-0.006651,0.731625,0.116264,12.2449,-0.009452,-0.019027,-0.010852,success,,2026-04-16 04:31:25
82,m4qhFFdHTCc,knowledge_technology_short,video_mme,Knowledge,Technology,short,17.0,17.0,0.901825,0.085061,3.75,-0.032031,0.901825,0.085061,3.75,-0.032031,0.0,0.0,0.901825,0.085061,3.75,-0.032031,0.0,0.0,0.901825,0.085061,3.75,-0.032031,0.0,0.0,success,,2026-04-16 04:31:31
41,yl5ZXQmrtP0,knowledge_astronomy_short,video_mme,Knowledge,Astronomy,short,71.0,71.0,0.877141,0.131247,12.8571,-0.03225,0.878839,0.128922,12.2034,0.005415,0.001698,-0.002325,0.838876,0.162031,12.0,-0.075789,-0.038265,0.030784,0.878034,0.130883,12.2222,0.036363,0.000893,-0.000364,success,,2026-04-16 04:31:51
42,kRlhlCWplqk,knowledge_astronomy_short,video_mme,Knowledge,Astronomy,short,110.0,110.0,0.928435,0.077831,9.3578,-0.042721,0.92552,0.07633,10.1695,-0.034206,-0.002915,-0.001501,0.928423,0.071327,12.2034,-0.094725,-1.2e-05,-0.006504,0.920063,0.070067,10.1695,0.034702,-0.008372,-0.007764,success,,2026-04-16 04:32:10
